attr-fabric,attr-ideal-for,attr-number-of-contents-in-sales-package,attr-pattern,attr-style-code,attr-type,category-0,category-1,category-2,category-3,category-4,category-5,imageUrl,maker,product,productId,product_url,retail_price,uniq_id
Georgette,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Mayra Dresses,http://img5a.flixcart.com/image/dress/5/m/t/1-1-1510d19237-mayra-xl-original-imaechzyy88masjz.jpeg,,Mayra Women's Maxi Dress,5f17caa0ddbafd840196289f279fd929,http://www.flipkart.com/mayra-women-s-maxi-dress/p/itmechug3xhvjhhq?pid=DREECHUGPVDQR3VW,1995,5f17caa0ddbafd840196289f279fd929
Cotton,Women's,Pack of 1,Floral Print,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img5a.flixcart.com/image/dress/q/f/z/15106red-meiro-l-original-imae46q4u4gv2xwj.jpeg,,Meiro Women's Empire Waist Dress,aed519aa7a6f9da5f32073470fbd1619,http://www.flipkart.com/meiro-women-s-empire-waist-dress/p/itme4cytebavgwzy?pid=DREE4CYTGTENJFA5,1599,aed519aa7a6f9da5f32073470fbd1619
Poly crepe,Women's,Pack of 1,Graphic Print,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kwardrobe Dresses,http://img6a.flixcart.com/image/dress/c/z/g/1-1-ss-249-kwardrobe-xxl-original-imaebmts5am3pbft.jpeg,,Kwardrobe Women's Gathered Dress,6047faa7ac784346ae8d2dd0e93e85be,http://www.flipkart.com/kwardrobe-women-s-gathered-dress/p/itmebn4shubvcdr8?pid=DREEBN4SZ8MWAUFM,960,6047faa7ac784346ae8d2dd0e93e85be
Cotton,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meraki Dresses,http://img6a.flixcart.com/image/dress/g/h/a/1-1-meraki042-meraki-m-original-imae9rtpuzhycgv9.jpeg,,Meraki Women's Maxi Dress,75159483811a512039a3b965cc17ce83,http://www.flipkart.com/meraki-women-s-maxi-dress/p/itme9s6h8z3gtuyr?pid=DREE9S6HRABZ75YM,999,75159483811a512039a3b965cc17ce83
Rayon,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Maggie Dresses,http://img6a.flixcart.com/image/dress/j/s/y/1-1-mg286-maggie-38-original-imaech8phajed4w9.jpeg,,Maggie Women's Shift Dress,88e124fcffa8b1178ae8eb0ac65da8fa,http://www.flipkart.com/maggie-women-s-shift-dress/p/itmechgk8rwmkuca?pid=DREECHGKNA4HRKNH,2699,88e124fcffa8b1178ae8eb0ac65da8fa
Cotton,Women's,,Printed,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img5a.flixcart.com/image/dress/g/k/d/hc1258-hugo-chavez-l-original-imae4j47btnbey87.jpeg,,Hugo Chavez Women's Bandage Dress,812eefc40476d0cc313fe8c43ecd6b24,http://www.flipkart.com/hugo-chavez-women-s-bandage-dress/p/itme4k5gfmwgccxy?pid=DREE4K5GU54QXGKD,1599,812eefc40476d0cc313fe8c43ecd6b24
Georgette,Women's,Pack of 1,Printed,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meee Dresses,http://img6a.flixcart.com/image/dress/f/a/u/1-1-dr-017off-white-meee-l-original-imae7peuzncth57h.jpeg,,Meee Women's Empire Waist Dress,83463b4b59389a5cfaac2ccdc3e7caf8,http://www.flipkart.com/meee-women-s-empire-waist-dress/p/itme7pgwhgcgwmsy?pid=DREE7PGWPSUCATZN,1295,83463b4b59389a5cfaac2ccdc3e7caf8
Jersey,Women's,Pack of 1,Printed,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,House Of Tantrums Dresses,http://img5a.flixcart.com/image/dress/g/r/s/1-1-drs021-house-of-tantrums-s-original-imae9qy5yrhkxyvc.jpeg,,House Of Tantrums Women's Empire Waist Dress,ae851e424a67e349e0ea005be651d192,http://www.flipkart.com/house-tantrums-women-s-empire-waist-dress/p/itme9r3rgskhrpvm?pid=DREE9R3RPAGHHCT2,899,ae851e424a67e349e0ea005be651d192
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img5a.flixcart.com/image/dress/q/s/n/1-1-hc1356-hugo-chavez-m-original-imae6bfqkasjud4r.jpeg,,Hugo Chavez Women's Maxi Dress,6f6cd89e3aee9c1f7e251801d4eab5e3,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itme6d3ekr2mc435?pid=DREE6D3EYQGBEMPR,2499,6f6cd89e3aee9c1f7e251801d4eab5e3
Viscose,Women's,,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Jealous 21 Dresses,http://img6a.flixcart.com/image/dress/b/f/z/cw0009-white-f-jealous-21-40-original-imadwyfjvpjpvgdw.jpeg,,Jealous 21 Women's Shift Dress,8ac13b90b98463d05912cae5b1f672d2,http://www.flipkart.com/jealous-21-women-s-shift-dress/p/itmdvzkgv4ph5hk3?pid=DREDVZKGM9JFTYEC,1399,8ac13b90b98463d05912cae5b1f672d2
Cotton,Women's,Pack of 1,"Printed, Solid",,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img5a.flixcart.com/image/dress/r/b/g/1-1-15126royal-blue-meiro-xxl-original-imae87cfzmae68gs.jpeg,,Meiro Women's Sheath Dress,aebe30488f671357aeafd97ea48dedd3,http://www.flipkart.com/meiro-women-s-sheath-dress/p/itme88dfwzg44bbu?pid=DREE88DFJHHS9RBG,1499,aebe30488f671357aeafd97ea48dedd3
"Cotton Single Jersey, Georgette",Women's,,Solid,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img6a.flixcart.com/image/dress/q/e/a/mc-s-14-d-01-31-31-miss-chase-xs-original-imadzs4gv7sjwhvh.jpeg,,Miss Chase Women's Bandage Dress,4b355316235b58f1cee6f9885fc2af2e,http://www.flipkart.com/miss-chase-women-s-bandage-dress/p/itmdzpx3xxg6yyh6?pid=DREDZPX3HYAGG8JD,1699,4b355316235b58f1cee6f9885fc2af2e
Cotton Stretch,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Latin Quarters Dresses,http://img5a.flixcart.com/image/dress/g/t/w/1-1-lqd3079-blue-latin-quarters-l-original-imae8gb38gh62mmp.jpeg,,Latin Quarters Women's Shift Dress,f0f09f640565bf236a4940eb167b1945,http://www.flipkart.com/latin-quarters-women-s-shift-dress/p/itme8fwqyhcs8frn?pid=DREE8FWRZDEXKGDT,2190,f0f09f640565bf236a4940eb167b1945
Georgette,Women's,Pack of 2,"Printed, Floral Print",,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,La Zoire Dresses,http://img6a.flixcart.com/image/dress/v/g/z/1-1-lza389-389-cr-la-zoire-m-original-imaebbugkmhycadz.jpeg,,La Zoire Women's Shift Dress,d69801bda9a9f89508422abf9f896178,http://www.flipkart.com/la-zoire-women-s-shift-dress/p/itmebhbupwqaxg7w?pid=DREEBHBUXZUNYVGZ,1699,d69801bda9a9f89508422abf9f896178
Polyster,Women's,Pack of 1,Solid,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Londonhouze Dresses,http://img5a.flixcart.com/image/dress/k/m/n/1-1-sophie001-londonhouze-l-original-imae9dnf8ayzht2r.jpeg,,Londonhouze Women's Bandage Dress,22ab4f241b7b93e3b578ac4fafcb4fb7,http://www.flipkart.com/londonhouze-women-s-bandage-dress/p/itme9hy99rrztaav?pid=DREE9HY9TTBYDQSZ,1599,22ab4f241b7b93e3b578ac4fafcb4fb7
Cotton,Women's,Pack of 1,Self Design,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Modimania Dresses,http://img6a.flixcart.com/image/dress/h/n/g/1-1-mod00211-modimania-s-original-imae88cgb92vfzms.jpeg,,Modimania Women's Gathered Dress,9dc306ab073fb53b890a6cb318fe1e84,http://www.flipkart.com/modimania-women-s-gathered-dress/p/itme88hjcqzmxkny?pid=DREE88HJYRXGWHNG,2800,9dc306ab073fb53b890a6cb318fe1e84
Cotton,Women's,Pack of 1,Solid,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kaxiaa Dresses,http://img5a.flixcart.com/image/dress/c/g/a/1-1-k-1046a-kaxiaa-m-original-imae96y4dvzdzhfy.jpeg,,Kaxiaa Women's Layered Dress,9e9691a59fb5d9cabdfad5f46533e1f7,http://www.flipkart.com/kaxiaa-women-s-layered-dress/p/itme978eqykv8gy3?pid=DREE978EXDA4XHRY,1499,9e9691a59fb5d9cabdfad5f46533e1f7
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img5a.flixcart.com/image/dress/b/s/t/1-1-hc1718-hugo-chavez-xs-original-imaeb5tdh86yryrv.jpeg,,Hugo Chavez Women's Maxi Dress,bc962a73187a177adf7e1080066db03e,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itmeb5wfw3ssznea?pid=DREEB5WFZEYGYBST,2499,bc962a73187a177adf7e1080066db03e
Crepe,Women's,Pack of 1,Graphic Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Maggie Dresses,http://img6a.flixcart.com/image/dress/d/v/f/1-1-mg222-maggie-44-original-imaechwwusmf93yb.jpeg,,Maggie Women's Shift Dress,aead3e5ecac16042061c9e4410fb573e,http://www.flipkart.com/maggie-women-s-shift-dress/p/itmeccmnzryqmftn?pid=DREECCMNGJUWZDVF,2499,aead3e5ecac16042061c9e4410fb573e
Cotton Single Jersey,Women's,,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img6a.flixcart.com/image/dress/z/p/u/mc-s-14-d-02-25-48-miss-chase-s-original-imadxv7puh5knqf4.jpeg,,Miss Chase Women's Sheath Dress,27ba668256723402d99a3397b2b269df,http://www.flipkart.com/miss-chase-women-s-sheath-dress/p/itmdv8hgrmqjp5yn?pid=DREDV8HG7Z8BFFXZ,1549,27ba668256723402d99a3397b2b269df
Synthetic,Women's,Pack of 1,Floral Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss India Dresses,http://img5a.flixcart.com/image/dress/c/q/c/1-1-mipeop-s-miss-india-s-original-imae7d9arsvmggqc.jpeg,,Miss India Women's Shift Dress,0a06e3a7bbd4a5c1023a84e1dfe1c7c7,http://www.flipkart.com/miss-india-women-s-shift-dress/p/itme7ft86mzcsxr4?pid=DREE7FT8AQ2F9CQC,1799,0a06e3a7bbd4a5c1023a84e1dfe1c7c7
100% Polyester,Women's,Pack of 1,Printed,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Latin Quarters Dresses,http://img5a.flixcart.com/image/dress/g/h/h/1-1-lqd3289-blue-latin-quarters-m-original-imae8gb4wyz2pwjk.jpeg,,Latin Quarters Women's Gathered Dress,88e2678058e34254b1ea4cc262ec7cb4,http://www.flipkart.com/latin-quarters-women-s-gathered-dress/p/itme8fwqjhdh7fwv?pid=DREE8FWRYYJGFGHG,2100,88e2678058e34254b1ea4cc262ec7cb4
Poly Crepe,Women's,,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meira Dresses,http://img6a.flixcart.com/image/dress/u/c/8/1-1-mewt-1223-black-meira-xl-original-imaebbnkjykbbyfe.jpeg,,Meira Women's Shift Dress,a6b601a95ee9c27e992c16ac8a66e8fa,http://www.flipkart.com/meira-women-s-shift-dress/p/itmebbwdbnukbdyq?pid=DREEBBWDWEFTZQB7,1599,a6b601a95ee9c27e992c16ac8a66e8fa
Polyester,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Inmark Dresses,http://img5a.flixcart.com/image/dress/a/9/w/1-1-indr000063-black-f-inmark-xs-original-imae82waumhtg6gf.jpeg,,Inmark Women's Shift Dress,dcb33aae4c83e40e963b356a7ecc0fbb,http://www.flipkart.com/inmark-women-s-shift-dress/p/itme8h6nu2qxczrn?pid=DREE8H6NY5ZQFGPV,1399,dcb33aae4c83e40e963b356a7ecc0fbb
Chiffon,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Motif Dresses,http://img6a.flixcart.com/image/dress/n/v/r/1-1-a720-motif-m-original-imaeb2h9y3fthwre.jpeg,,Motif Women's Shift Dress,fa276929062f3b6eb286d49d556b18c4,http://www.flipkart.com/motif-women-s-shift-dress/p/itmeb2xcenu5mcbn?pid=DREEB2XCXFHZNMVM,1440,fa276929062f3b6eb286d49d556b18c4
,Women's,,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meira Dresses,http://img6a.flixcart.com/image/dress/7/g/p/mewt-1103-c-meira-xxl-original-imaefxzg5wzngnfq.jpeg,,Meira Women's Maxi Dress,6066c126ebf9ab1f9209d5f121aa88e6,http://www.flipkart.com/meira-women-s-maxi-dress/p/itmefyyfqawnbm9j?pid=DREEFYYFUE9NFU8F,1449,6066c126ebf9ab1f9209d5f121aa88e6
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img5a.flixcart.com/image/dress/y/j/3/1-1-hc1619dupq-hugo-chavez-l-original-imaeaszash5bhyks.jpeg,,Hugo Chavez Women's Maxi Dress,a52a2cac6518029fa9f409d71ff47401,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itmeaxe3vzcn4xze?pid=DREEAXE3RZMHYH94,2499,a52a2cac6518029fa9f409d71ff47401
Nylon,Women's,Pack of 1,Self Design,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Inmark Dresses,http://img6a.flixcart.com/image/dress/t/x/z/1-1-indr000092-gold-f-inmark-xl-original-imae6scytu4k33zw.jpeg,,Inmark Women's Shift Dress,4e48d4ac11f07e612fe1b2f9fb5fee59,http://www.flipkart.com/inmark-women-s-shift-dress/p/itme6udpgqrfe5nj?pid=DREE6UDPHFXJDNTB,1399,4e48d4ac11f07e612fe1b2f9fb5fee59
Polyester,Women's,,Floral Print,,Peplum,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img5a.flixcart.com/image/dress/7/t/x/1-1-14108beige-floral-meiro-m-original-imae2gkw8h5ahvfb.jpeg,,Meiro Women's Peplum Dress,85b28b4bb4a766da5c170ff50012d630,http://www.flipkart.com/meiro-women-s-peplum-dress/p/itme7nmevywqyzfg?pid=DREE7NMEMZRGT9DM,1299,85b28b4bb4a766da5c170ff50012d630
Cotton,Women's,,Polka Print,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Lady Stark Dresses,http://img6a.flixcart.com/image/dress/t/g/r/1-1-lsdr4042-lady-stark-xs-original-imaebqvq4eccguqh.jpeg,,Lady Stark Women's Gathered Dress,451f5b6627615adb5bb727c056787609,http://www.flipkart.com/lady-stark-women-s-gathered-dress/p/itmebrfytuz4gnng?pid=DREEBRFYZ55GGGYJ,2790,451f5b6627615adb5bb727c056787609
Viscose Blend,Women's,Pack of 1,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Latin Quarters Dresses,http://img5a.flixcart.com/image/dress/j/p/x/1-1-lqd3777-green-latin-quarters-s-original-imae8gb3pv8h4cfw.jpeg,,Latin Quarters Women's Gathered Dress,7b18280cd52497430f160c4545231923,http://www.flipkart.com/latin-quarters-women-s-gathered-dress/p/itme8fwqx5gtcevy?pid=DREE8FWRZXUNRJPX,2290,7b18280cd52497430f160c4545231923
Georgette,Women's,Pack of 1,Floral Print,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,maggie Dresses,http://img6a.flixcart.com/image/dress/h/h/k/1-1-mg211-maggie-36-original-imaechwvhd9vqzdf.jpeg,,maggie Women's Empire Waist Dress,2011057a3f4886ee09d5abc2d67f67c1,http://www.flipkart.com/maggie-women-s-empire-waist-dress/p/itmeccmnhy7hqnq7?pid=DREECCMNZSVNVHHK,2999,2011057a3f4886ee09d5abc2d67f67c1
Blend,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,IDK Woman Dresses,http://img6a.flixcart.com/image/dress/g/b/6/kw160a-dr-213-blue-f-idk-woman-12-original-imae4j8ryqrzhyhf.jpeg,,IDK Woman Women's Shift Dress,d6c91c966c35e5b23f0ef4909c51dcfb,http://www.flipkart.com/idk-woman-women-s-shift-dress/p/itme4mcwcdp2rvbk?pid=DREE4MCWZYN7RGB6,1399,d6c91c966c35e5b23f0ef4909c51dcfb
Cotton,Women's,Pack of 1,"Embroidered, Solid",,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Indiatrendzs Dresses,http://img5a.flixcart.com/image/dress/a/v/7/i-stk-1088-indiatrendzs-42-1100x1360-imae3vrgxz6zrh4h.jpeg,,Indiatrendzs Women's Gathered Dress,e5cecb6ec70a15479188d60f9820be23,http://www.flipkart.com/indiatrendzs-women-s-gathered-dress/p/itme3wy2kxtuka8z?pid=DREE3WY2HGZCYAV7,1224,e5cecb6ec70a15479188d60f9820be23
Single Jersey,Women's,,Floral Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,La Zoire Dresses,http://img5a.flixcart.com/image/dress/t/f/h/lza12aykpl4-yl-la-zoire-m-original-imaeyvxzuyyztbnf.jpeg,,La Zoire Women's Shift Dress,b30e934da4437a426532722abf34e525,http://www.flipkart.com/la-zoire-women-s-shift-dress/p/itmeyyfrxh99x67g?pid=DREEYYFRUPZRSVKS,699,b30e934da4437a426532722abf34e525
Polyster Cotton,Women's,,Solid,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,LondonHouze Dresses,http://img6a.flixcart.com/image/dress/a/x/e/1-1-lhagd0024-londonhouze-m-original-imaeakz8yubymejq.jpeg,,LondonHouze Women's Bandage Dress,c2aace608ea69947d5accc56911d8bef,http://www.flipkart.com/londonhouze-women-s-bandage-dress/p/itmeaharbynjwcch?pid=DREEAHARZKKBPAXE,1499,c2aace608ea69947d5accc56911d8bef
Polyster,Women's,Pack of 1,Printed,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Londonhouze Dresses,http://img5a.flixcart.com/image/dress/e/a/8/1-1-prjewelblk02-londonhouze-xl-original-imae6ybbrngvvkq2.jpeg,,Londonhouze Women's Bandage Dress,6e7c814ef8fd434a9b9f503e48482d1d,http://www.flipkart.com/londonhouze-women-s-bandage-dress/p/itme6ytketzr5ynm?pid=DREE6YTKPUA6KTGW,1999,6e7c814ef8fd434a9b9f503e48482d1d
Crepe,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,jiiah Dresses,http://img6a.flixcart.com/image/dress/h/k/h/1-1-green-001-jiiah-l-original-imaecgt7vazh4duj.jpeg,,jiiah Women's Shift Dress,613cb3df926a9e1bed1d78d4d6d0b695,http://www.flipkart.com/jiiah-women-s-shift-dress/p/itmecgzjdxgwqkff?pid=DREECGZJUXBSTHKH,699,613cb3df926a9e1bed1d78d4d6d0b695
Crepe,Women's,,Printed,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Iknow Dresses,http://img6a.flixcart.com/image/dress/k/u/m/1-1-ikwdwaw13dr141-iknow-xl-original-imae5pbykhfgazgz.jpeg,,Iknow Women's Empire Waist Dress,6131fd72e1e6ecf07e3be7a1ca292487,http://www.flipkart.com/iknow-women-s-empire-waist-dress/p/itme644dv2tt5pqw?pid=DREE644D97BN8PXV,1699,6131fd72e1e6ecf07e3be7a1ca292487
Poly Viscose Elastane,Women's,Pack of 1,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kaxiaa Dresses,http://img6a.flixcart.com/image/dress/r/z/9/1-1-k-dr-31054a-kaxiaa-s-original-imae96raqkzftmez.jpeg,,Kaxiaa Women's Sheath Dress,c6d2879e9c4a59d6974e5427c60745bb,http://www.flipkart.com/kaxiaa-women-s-sheath-dress/p/itme978ezcdrgz7d?pid=DREE978EVUSGXSDW,1499,c6d2879e9c4a59d6974e5427c60745bb
Cotton,Women's,,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Legona Dresses,http://img6a.flixcart.com/image/dress/c/y/c/1-1-lf0000105-s-legona-l-original-imaeca47j82cmngb.jpeg,,Legona Women's Sheath Dress,3a2502382874a58dc55b215b54defe84,http://www.flipkart.com/legona-women-s-sheath-dress/p/itmecacvgxpkhrmg?pid=DREECACWBGY4WYZR,2499,3a2502382874a58dc55b215b54defe84
Gorgette,Women's,,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Maggie Dresses,http://img6a.flixcart.com/image/dress/z/n/6/1-1-mg15-maggie-free-original-imae9drrzgxwgfyp.jpeg,,Maggie Women's Maxi Dress,42693ceb6539e48d037f4eec00c5c2b4,http://www.flipkart.com/maggie-women-s-maxi-dress/p/itme9ehekeycjrtp?pid=DREE9EHE2THJWZN6,1899,42693ceb6539e48d037f4eec00c5c2b4
Georgette,Women's,Pack of 1,Embellished,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Lady Stark Dresses,http://img5a.flixcart.com/image/dress/z/q/y/1-1-lsdr4012-lady-stark-xxl-original-imae9yqryecafqfn.jpeg,,Lady Stark Women's High Low Dress,a06c149a1fa1c18b223980f86c3966e8,http://www.flipkart.com/lady-stark-women-s-high-low-dress/p/itme9zy96fmpa9ys?pid=DREE9ZY9WZXZTDVD,2790,a06c149a1fa1c18b223980f86c3966e8
Polyester,Women's,Pack of 1,Self Design,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kyma Dresses,http://img6a.flixcart.com/image/dress/e/6/m/sdk005-kyma-m-original-imae3xzsnfqdqnsb.jpeg,,Kyma Women's Empire Waist Dress,8429bd9b4defc76565972a0ae8652346,http://www.flipkart.com/kyma-women-s-empire-waist-dress/p/itme45nnwgp2hh62?pid=DREE45NNFKMHUAGK,2800,8429bd9b4defc76565972a0ae8652346
Polyester,Women's,,Self Design,,Bubble,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,I Am For You Dresses,http://img6a.flixcart.com/image/dress/t/u/f/imfu-fk-213-i-am-for-you-m-1100x1360-imae487ccf7xkrzp.jpeg,,I Am For You Women's Bubble Dress,2e53759dd447b93fffef97d30ad2d65d,http://www.flipkart.com/am-you-women-s-bubble-dress/p/itme484rfecggfhq?pid=DREE484RFP92ZTUF,1799,2e53759dd447b93fffef97d30ad2d65d
,Women's,,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meira Dresses,http://img6a.flixcart.com/image/dress/d/m/w/mewt-1103-a-meira-xl-original-imaefxzgkhkd9mrv.jpeg,,Meira Women's Maxi Dress,6da8f7568e6e7b67b81093dc92f0f14d,http://www.flipkart.com/meira-women-s-maxi-dress/p/itmefyyf4mcvnuht?pid=DREEFYYF6CJDADMW,1449,6da8f7568e6e7b67b81093dc92f0f14d
100% Polyester,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Isadora Dresses,http://img6a.flixcart.com/image/dress/j/8/w/1-1-wcd524018-isadora-l-original-imae7ucazjxmaqhz.jpeg,,Isadora Women's Shift Dress,094fc559634b6b7a19771442270bf4c5,http://www.flipkart.com/isadora-women-s-shift-dress/p/itme7ue34hbccjt5?pid=DREE7UE3SH2GGG2F,1250,094fc559634b6b7a19771442270bf4c5
100% Polyester,Women's,Pack of 1,Printed,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Isadora Dresses,http://img5a.flixcart.com/image/dress/c/g/c/1-1-wcd525019-isadora-m-original-imae7ucazcjhrkak.jpeg,,Isadora Women's Empire Waist Dress,71f0523915410e5cd7cee4d53e259f4e,http://www.flipkart.com/isadora-women-s-empire-waist-dress/p/itme7ue3zecgjtt9?pid=DREE7UE3TTMMHCGC,1250,71f0523915410e5cd7cee4d53e259f4e
"Cotton Single Jersey, Polyester Lace",Women's,,Self Design,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img5a.flixcart.com/image/dress/c/j/a/mc-pf-13-d-02-11-62-miss-chase-xs-original-imadv8qeagayyg99.jpeg,,Miss Chase Women's Bandage Dress,667a495d9e1f7e11d8697da1fba5d1bf,http://www.flipkart.com/miss-chase-women-s-bandage-dress/p/itmdv8hgfshe6fsz?pid=DREDV8HGDHM8D6PU,1299,667a495d9e1f7e11d8697da1fba5d1bf
Cotton Single Jersey,Women's,,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img6a.flixcart.com/image/dress/s/x/k/mc-s-14-d-01-35-17-miss-chase-xs-original-imadzs4fxtqzegm9.jpeg,,Miss Chase Women's Sheath Dress,2f9aa4df2498ad84803aa1cf260842fd,http://www.flipkart.com/miss-chase-women-s-sheath-dress/p/itmeyb4g8qg3xkgp?pid=DREEYB4GKJHBVSGZ,1449,2f9aa4df2498ad84803aa1cf260842fd
Lycra,Women's,Pack of 1,Printed,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Inmark Dresses,http://img6a.flixcart.com/image/dress/z/n/x/1-1-indr000104-multi-f-inmark-l-original-imae6scydh6247es.jpeg,,Inmark Women's Empire Waist Dress,e4feec928fa3313b6f5646bb7024fb73,http://www.flipkart.com/inmark-women-s-empire-waist-dress/p/itme6udpaz9xztvm?pid=DREE6UDPXFYZMHGX,1299,e4feec928fa3313b6f5646bb7024fb73
Synthetic,Women's,Pack of 1,Polka Print,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss India Dresses,http://img6a.flixcart.com/image/dress/e/g/8/1-1-miwpop-s-miss-india-s-original-imae7fxvngp4egvm.jpeg,,Miss India Women's Gathered Dress,601b1f251bd77d647b30741f2b7807ed,http://www.flipkart.com/miss-india-women-s-gathered-dress/p/itme7g2fc82whbqw?pid=DREE7G2FXHSVQEG8,1799,601b1f251bd77d647b30741f2b7807ed
Georgette,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Magnetic Designs Dresses,http://img6a.flixcart.com/image/dress/h/v/h/1-1-mddr419-magnetic-designs-l-original-imaearjh6gqectud.jpeg,,Magnetic Designs Women's Maxi Dress,f115f573b1e99dbe2ee1e2133db64a71,http://www.flipkart.com/magnetic-designs-women-s-maxi-dress/p/itmearu92evrkz9b?pid=DREEARU9CNFR3GZZ,1099,f115f573b1e99dbe2ee1e2133db64a71
